Région,Code région,Code département,code_commune,nom_commune,zone_montagne,est_zone_vulnerable,est_zar,zone_ouest,zone_sud,zone_est,Dernière mise à jour,Dernière mise à jour par
NORMANDIE,28,27,27676,TROIS LACS,NC,C,,,,,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,69,69149,OULLINS PIERRE BENITE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
PAYS DE LA LOIRE,52,85,85212,SAINTE FLORENCE,NC,,,,,,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01001,ABERGEMENT CLEMENCIAT,NC,PC,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01002,ABERGEMENT DE VAREY,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01004,AMBERIEU EN BUGEY,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01005,AMBERIEUX EN DOMBES,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01006,AMBLEON,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01007,AMBRONAY,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01008,AMBUTRIX,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01009,ANDERT ET CONDON,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01010,ANGLEFORT,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01011,APREMONT,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01012,ARANC,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01013,ARANDAS,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01014,ARBENT,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01015,ARBOYS EN BUGEY,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01016,ARBIGNY,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01017,ARGIS,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01019,ARMIX,C,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01021,ARS SUR FORMANS,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01022,ARTEMARE,NC,,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01023,ASNIERES SUR SAONE,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01024,ATTIGNAT,NC,C,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
AUVERGNE RHONE ALPES,84,01,01025,BAGE DOMMARTIN,NC,PC,,NC,NC,NC,2025-05-21 6:30pm,ambroise.coulomb
