zone,code_departement,code_insee,portee
est_1,08,08041,commune
est_1,08,08080,commune
est_1,08,08095,commune
est_1,08,08116,commune
est_1,08,08205,commune
est_1,08,08216,commune
est_1,08,08228,commune
est_1,08,08278,commune
est_1,08,08324,commune
est_1,08,08335,commune
est_1,08,08358,commune
est_1,08,08389,commune
est_1,08,08422,commune
est_1,08,08432,commune
est_1,08,08478,commune
est_1,08,08479,commune
est_1,51,51062,commune
est_1,51,51138,commune
est_1,51,51139,commune
est_1,51,51143,commune
est_1,51,51222,commune
est_1,51,51253,commune
est_1,51,51370,commune
est_1,51,51424,commune
est_1,51,51507,commune
est_1,51,51610,commune
est_1,51,51621,commune
est_1,51,51632,commune
est_1,52,52001,commune
est_1,52,52002,commune
est_1,52,52003,commune
est_1,52,52004,commune
est_1,52,52007,commune
est_1,52,52008,commune
est_1,52,52011,commune
est_1,52,52012,commune
est_1,52,52014,commune
est_1,52,52017,commune
est_1,52,52019,commune
est_1,52,52022,commune
est_1,52,52023,commune
est_1,52,52025,commune
est_1,52,52027,commune
est_1,52,52029,commune
est_1,52,52030,commune
est_1,52,52033,commune
est_1,52,52038,commune
est_1,52,52039,commune
est_1,52,52042,commune
est_1,52,52044,commune
est_1,52,52047,commune
est_1,52,52050,commune
est_1,52,52053,commune
est_1,52,52055,commune
est_1,52,52058,commune
est_1,52,52059,commune
est_1,52,52060,commune
est_1,52,52061,commune
est_1,52,52063,commune
est_1,52,52064,commune
est_1,52,52065,commune
est_1,52,52066,commune
est_1,52,52067,commune
est_1,52,52072,commune
est_1,52,52074,commune
est_1,52,52075,commune
est_1,52,52082,commune
est_1,52,52084,commune
est_1,52,52085,commune
est_1,52,52087,commune
est_1,52,52091,commune
est_1,52,52095,commune
est_1,52,52097,commune
est_1,52,52099,commune
est_1,52,52101,commune
est_1,52,52105,commune
est_1,52,52106,commune
est_1,52,52107,commune
est_1,52,52108,commune
est_1,52,52109,commune
est_1,52,52110,commune
est_1,52,52118,commune
est_1,52,52120,commune
est_1,52,52121,commune
est_1,52,52122,commune
est_1,52,52123,commune
est_1,52,52125,commune
est_1,52,52127,commune
est_1,52,52128,commune
est_1,52,52129,commune
est_1,52,52131,commune
est_1,52,52132,commune
est_1,52,52133,commune
est_1,52,52140,commune
est_1,52,52141,commune
est_1,52,52142,commune
est_1,52,52147,commune
est_1,52,52156,commune
est_1,52,52157,commune
est_1,52,52159,commune
est_1,52,52160,commune
est_1,52,52161,commune
est_1,52,52162,commune
est_1,52,52163,commune
est_1,52,52167,commune
est_1,52,52169,commune
est_1,52,52173,commune
est_1,52,52174,commune
est_1,52,52175,commune
est_1,52,52177,commune
est_1,52,52178,commune
est_1,52,52181,commune
est_1,52,52183,commune
est_1,52,52184,commune
est_1,52,52187,commune
est_1,52,52190,commune
est_1,52,52193,commune
est_1,52,52194,commune
est_1,52,52196,commune
est_1,52,52198,commune
est_1,52,52199,commune
est_1,52,52201,commune
est_1,52,52203,commune
est_1,52,52204,commune
est_1,52,52205,commune
est_1,52,52207,commune
est_1,52,52208,commune
est_1,52,52211,commune
est_1,52,52212,commune
est_1,52,52214,commune
est_1,52,52217,commune
est_1,52,52218,commune
est_1,52,52219,commune
est_1,52,52220,commune
est_1,52,52221,commune
est_1,52,52222,commune
est_1,52,52227,commune
est_1,52,52230,commune
est_1,52,52231,commune
est_1,52,52232,commune
est_1,52,52234,commune
est_1,52,52237,commune
est_1,52,52243,commune
est_1,52,52245,commune
est_1,52,52247,commune
est_1,52,52248,commune
est_1,52,52250,commune
est_1,52,52251,commune
est_1,52,52253,commune
est_1,52,52254,commune
est_1,52,52256,commune
est_1,52,52260,commune
est_1,52,52265,commune
est_1,52,52271,commune
est_1,52,52273,commune
est_1,52,52276,commune
est_1,52,52277,commune
est_1,52,52282,commune
est_1,52,52284,commune
est_1,52,52286,commune
est_1,52,52287,commune
est_1,52,52288,commune
est_1,52,52289,commune
est_1,52,52291,commune
est_1,52,52295,commune
est_1,52,52297,commune
est_1,52,52300,commune
est_1,52,52301,commune
est_1,52,52302,commune
est_1,52,52304,commune
